response,count
Accessibility barrier,3
Busy,46
Childcare barrier,6
I don’t feel welcome,5
I prefer to watch recordings of the events,19
I'm not interested in attending live Solid events,7
Language barrier,2
Technology barrier (i.e. poor Internet connection),3
Timezone issues (too early or too late),16
Topics are too complex,7
Topics aren’t interesting to me,4
